"Date/Time","(9)","Shelf 1 H(23)","Shelf 1 T(23)","Shelf 2 H(24)","Shelf 2 T(24)","Shelf 3 H(25)","Shelf 3 T(25)","Shelf 4 H(26)","Shelf 4 T(26)","Shelf 5 H(27)","Shelf 5 T(27)","Shelf 6 H(28)","Shelf 6 T(28)","Relay 1(1)","Relay 2(2)","Relay 3(3)","Relay 4(4)","Relay 5(5)","Relay 6(6)","Reserved(7)","Fan(8)","11(10)","12(11)","21(12)","22(13)","31(14)","32(15)","41(16)","42(17)"
2015-9-11 0:2:42,33.66, 63.70, 24.20, 60.40, 24.50, 58.70, 25.20, 61.50, 25.30, 78.70, 22.40, 99.50, 24.40, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.09, 2.09, -14.93, 3.65, -14.93, 4.10, -1.08, 1.92 
2015-9-11 0:7:43,33.97, 63.80, 24.20, 60.60, 24.50, 58.80, 25.10, 61.60, 25.30, 80.00, 22.40, 99.50, 24.40, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.09, 2.08, -14.94, 3.65, -14.93, 4.10, -1.09, 1.92 
2015-9-11 0:12:43,33.69, 63.70, 24.10, 60.50, 24.50, 58.90, 25.10, 61.10, 25.20, 79.40, 22.40, 99.50, 24.40, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.11, 2.09, -14.93, 3.65, -14.93, 4.09, -1.10, 1.91 
2015-9-11 0:17:45,33.28, 63.70, 24.10, 60.40, 24.40, 58.90, 25.00, 61.50, 25.20, 78.80, 22.40, 99.50, 24.40, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.11, 2.07, -14.93, 3.65, -14.92, 4.10, -1.08, 1.92 
2015-9-11 0:22:45,32.67, 63.70, 24.00, 60.60, 24.30, 59.00, 25.00, 61.40, 25.20, 79.00, 22.30, 99.50, 24.40, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.10, -14.93, 3.65, -14.93, 4.10, -1.09, 1.91 
2015-9-11 0:27:47,32.19, 63.80, 24.00, 60.70, 24.30, 59.20, 24.90, 61.30, 25.20, 79.60, 22.30, 99.50, 24.40, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.11, 2.09, -14.93, 3.65, -14.93, 4.10, -1.13, 1.92 
2015-9-11 0:32:47,31.65, 63.80, 24.00, 60.90, 24.30, 59.20, 24.90, 61.00, 25.10, 81.10, 22.30, 99.50, 24.40, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.12, 2.09, -14.94, 3.64, -14.93, 4.09, -1.13, 1.91 
2015-9-11 0:37:49,31.24, 63.80, 24.00, 61.00, 24.20, 59.20, 24.80, 61.00, 25.10, 81.60, 22.30, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.09, -14.93, 3.64, -14.93, 4.07, -1.18, 1.90 
2015-9-11 0:42:49,30.96, 63.90, 24.00, 60.90, 24.10, 59.20, 24.80, 61.30, 25.10, 100.00, 22.40, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.12, 2.09, -14.93, 3.65, -14.93, 4.10, -1.18, 1.91 
2015-9-11 0:47:51,30.48, 63.90, 24.00, 61.10, 24.10, 59.30, 24.70, 61.60, 25.00, 81.80, 22.30, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.14, 2.08, -14.93, 3.64, -14.93, 4.08, -1.21, 1.91 
2015-9-11 0:52:51,30.08, 63.90, 24.00, 61.30, 24.10, 59.30, 24.70, 61.50, 25.00, 82.40, 22.30, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.07, -14.93, 3.63, -14.93, 4.08, -1.21, 1.91 
2015-9-11 0:57:52,29.85, 63.90, 24.00, 61.20, 24.00, 59.20, 24.60, 61.60, 24.90, 82.60, 22.30, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.08, -14.93, 3.63, -14.92, 4.08, -1.25, 1.90 
2015-9-11 1:2:52,29.59, 63.90, 23.90, 61.20, 23.90, 59.30, 24.60, 61.80, 24.90, 82.20, 22.30, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.14, 2.07, -14.94, 3.63, -14.94, 4.07, -1.31, 1.90 
2015-9-11 1:7:54,29.28, 63.90, 23.90, 61.30, 23.90, 59.30, 24.60, 62.30, 24.90, 81.20, 22.30, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.17, 2.09, -14.92, 3.63, -14.92, 4.09, -1.32, 1.91 
2015-9-11 1:12:54,29.12, 63.90, 23.90, 61.40, 23.80, 59.40, 24.50, 61.80, 24.80, 81.50, 22.20, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.14, 2.08, -14.93, 3.63, -14.93, 4.06, -1.36, 1.89 
2015-9-11 1:17:56,28.81, 64.00, 23.90, 61.70, 23.80, 59.50, 24.50, 61.90, 24.80, 80.80, 22.30, 99.50, 24.30, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.10, -14.94, 3.63, -14.93, 4.07, -1.34, 1.90 
2015-9-11 1:22:57,28.69, 64.00, 23.90, 61.80, 23.80, 59.60, 24.50, 62.00, 24.80, 81.20, 22.20, 99.50, 24.20, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.14, 2.09, -14.93, 3.63, -14.92, 4.08, -1.31, 1.90 
2015-9-11 1:27:59,28.49, 64.00, 23.90, 62.00, 23.70, 59.60, 24.50, 62.40, 24.70, 80.50, 22.20, 99.50, 24.20, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.08, -14.93, 3.63, -14.92, 4.07, -1.30, 1.90 
2015-9-11 1:32:59,28.25, 64.00, 23.90, 62.10, 23.70, 59.70, 24.50, 62.10, 24.70, 80.10, 22.20, 99.50, 24.20, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.08, -14.92, 3.62, -14.92, 4.07, -1.30, 1.89 
2015-9-11 1:38:0,28.10, 64.00, 23.80, 62.00, 23.70, 59.70, 24.40, 62.40, 24.70, 80.60, 22.10, 99.50, 24.20, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.11, 2.07, -14.93, 3.62, -14.93, 4.06, -1.36, 1.89 
2015-9-11 1:43:0,27.98, 64.10, 23.80, 62.30, 23.60, 59.70, 24.40, 62.50, 24.60, 80.70, 22.10, 99.50, 24.20, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.12, 2.08, -14.93, 3.62, -14.94, 4.06, -1.30, 1.89 
2015-9-11 1:48:2,27.93, 64.00, 23.80, 62.40, 23.50, 59.80, 24.40, 63.00, 24.60, 81.10, 22.10, 99.50, 24.20, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.08, -14.93, 3.61, -14.93, 4.08, -1.28, 1.89 
2015-9-11 1:53:2,27.71, 64.00, 23.80, 62.60, 23.60, 59.80, 24.40, 62.40, 24.60, 81.20, 22.00, 99.50, 24.20, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.12, 2.08, -14.93, 3.61, -14.93, 4.06, -1.29, 1.89 
2015-9-11 1:58:4,27.60, 64.00, 23.80, 62.50, 23.50, 59.90, 24.30, 62.70, 24.50, 81.30, 22.00, 99.50, 24.10, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.13, 2.08, -14.94, 3.61, -14.93, 4.06, -1.28, 1.88 
2015-9-11 2:3:4,27.53, 64.00, 23.80, 62.60, 23.50, 59.90, 24.30, 62.50, 24.50, 81.30, 22.00, 99.50, 24.10, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.11, 2.08, -14.94, 3.61, -14.94, 4.07, -1.27, 1.89 
2015-9-11 2:8:6,27.50, 64.00, 23.80, 62.80, 23.50, 59.90, 24.30, 62.70, 24.50, 81.40, 22.00, 99.50, 24.10, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.12, 2.09, -14.93, 3.61, -14.93, 4.06, -1.28, 1.88 
2015-9-11 2:13:6,27.25, 64.00, 23.80, 62.80, 23.40, 59.90, 24.30, 62.50, 24.40, 81.40, 22.00, 99.50, 24.10, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.10, 2.09, -14.93, 3.61, -14.94, 4.05, -1.27, 1.88 
2015-9-11 2:18:8,27.17, 64.00, 23.80, 62.90, 23.40, 59.90, 24.20, 63.00, 24.40, 82.00, 22.00, 99.50, 24.10, "opened", "opened", "opened", "opened", "opened", "opened", "opened", "opened", 3.10, 2.09, -14.93, 3.61, -14.93, 4.08, -1.25, 1.89 
